variant,fold_id,station_id,season_or_regime,horizon,actual_event,model_brier,persistence_brier,global_climatology_brier,seasonal_or_regime_climatology_brier
A_p90_exclude_summer,142,Valencia Centro,autumn,7,0,0.0029967232372356523,0.0,0.007324892460027595,0.005739210284664831
A_p90_exclude_summer,142,Viveros,autumn,7,0,0.0660742897386358,0.0,0.009756780800815639,0.009070294784580497
A_p90_exclude_summer,143,Avda. Francia,autumn,7,0,0.03847733419916441,0.0,0.008570817664630954,0.0073311219043691814
A_p90_exclude_summer,143,Bulevard Sud,autumn,7,0,0.13032850987635802,0.0,0.01003052656581433,0.007807855231866824
A_p90_exclude_summer,143,Moli del Sol,autumn,7,0,0.022582522776335098,0.0,0.008466285223378374,0.004686724732635505
A_p90_exclude_summer,143,Pista Silla,autumn,7,0,0.00772589042541325,0.0,0.008498841307718628,0.009560493827160494
A_p90_exclude_summer,143,Politecnico,autumn,7,0,0.04899343837089005,0.0,0.009127033240906664,0.011863607308955453
A_p90_exclude_summer,143,Valencia Centro,autumn,7,0,0.002743437339254607,0.0,0.010209105621410862,0.007901234567901235
A_p90_exclude_summer,143,Viveros,autumn,7,0,0.06336189416515806,0.0,0.009726463444550337,0.009018685815140391
A_p90_exclude_summer,144,Avda. Francia,autumn,7,0,0.0448013372574118,0.0,0.008526019739715259,0.007168083781604386
A_p90_exclude_summer,144,Pista Silla,autumn,7,0,0.008143324353125841,0.0,0.008467318277963392,0.009413492267054357
A_p90_exclude_summer,144,Politecnico,autumn,7,0,0.05306653901370897,0.0,0.009097547056093959,0.011709177990643794
A_p90_exclude_summer,144,Valencia Centro,autumn,7,0,0.0027306177446782573,0.0,0.010000000000000002,0.007141440190438404
A_p90_exclude_summer,144,Viveros,autumn,7,0,0.0700180268765295,0.0,0.009740013332296496,0.0088999644001424
A_p90_exclude_summer,145,Avda. Francia,autumn,7,0,0.057543837435364134,0.0,0.00848157212360026,0.0070104245437234355
A_p90_exclude_summer,145,Pista Silla,autumn,7,0,0.014317298409084597,0.0,0.008435970306483078,0.009269855254274621
A_p90_exclude_summer,145,Politecnico,autumn,7,0,0.0841329680778653,0.0,0.009068203529809747,0.011557744487610384
A_p90_exclude_summer,145,Valencia Centro,autumn,7,0,0.004348004029535237,0.0,0.009797253633183536,0.00648619431557137
A_p90_exclude_summer,145,Viveros,autumn,7,0,0.10404824951511948,0.0,0.009709841829974086,0.00878357190978569
A_p90_exclude_summer,146,Avda. Francia,autumn,7,0,0.05867193147742809,0.0,0.008437471173344953,0.00685791015625
A_p90_exclude_summer,146,Bulevard Sud,autumn,7,0,0.12574862287450803,0.0,0.009859368902835586,0.00726570165239604
A_p90_exclude_summer,146,Moli del Sol,autumn,7,0,0.023623183172406265,0.0,0.008399771455651878,0.004530325443786982
A_p90_exclude_summer,146,Pista Silla,autumn,7,0,0.009917761086801404,0.0,0.008404796099460952,0.009129480890454482
A_p90_exclude_summer,146,Politecnico,autumn,7,0,0.07550141020708694,0.0,0.009039001743265196,0.011409229809156552
A_p90_exclude_summer,146,Valencia Centro,autumn,7,0,0.004050156702039715,0.0,0.009600611249989618,0.00591715976331361
A_p90_exclude_summer,146,Viveros,autumn,7,0,0.11115227626157217,0.0,0.009679810303580652,0.008669447825529097
A_p90_exclude_summer,147,Avda. Francia,autumn,7,0,0.05046992361349733,0.0,0.008393713293240233,0.006710319176128559
A_p90_exclude_summer,147,Bulevard Sud,autumn,7,0,0.11131501143504151,0.0,0.00980986173072057,0.007116970651492829
A_p90_exclude_summer,147,Moli del Sol,autumn,7,0,0.023383601217140556,0.0,0.008366808123635659,0.004455045381512983
A_p90_exclude_summer,147,Pista Silla,autumn,7,0,0.009160442260243602,0.0,0.008373794375011128,0.008992271105826396
A_p90_exclude_summer,147,Politecnico,autumn,7,0,0.06346525717697483,0.0,0.009009940785056373,0.011263559422056186
